country_name,population_density,agricultural_land,land_area,armed_forces,birth_rate,capital_city,co2_emissions,cpi,fertility_rate,forested_area,gasoline_price,gdp,infant_mortality,largest_city,life_expectancy,minimum_wage,official_language,out_of_pocket_health_expenditure,population,population_labor_force,tax_revenue,total_tax_rate,unemployment_rate,urban_population,latitude,longitude
Indonesia,151,0.315,1904569,676000,0.1807,Jakarta,563325,151.18,2.31,0.499,0.63,1119190780753.00,0.21100000000000000,Kalimantan,0.715,0.48,Indonesian,0.483,270203917,0.675,0.102,0.301,0.046900000000000000,151509724,-0.789275,113.921327
Iran,52,0.282,1648195,563000,0.18780000000000000,Tehran,661710,550.93,2.14,0.066,0.40,445345282123.00,0.124,Tehran,0.765,1.58,Persian,0.397,82913906,0.447,0.07400000000000000,0.447,0.11380000000000000,62509623,32.427908,53.688046
Iraq,93,0.214,438317,209000,0.2908,Baghdad,190061,119.86,3.67,0.019,0.61,234094042939.00,0.225,Baghdad,0.705,1.24,Arabic,0.765,39309783,0.43,0.02,0.308,0.1282,27783368,33.223191,43.679291
Israel,400,0.24600000000000000,20770,178000,0.20800000000000000,Jerusalem,65166,108.15,3.09,0.077,1.57,395098666122.00,0.03,Jerusalem,0.828,7.58,Hebrew,0.244,9053300,0.64,0.231,0.253,0.038600000000000000,8374393,31.046051,34.851612
Jamaica,273,0.41,10991,4000,0.161,Kingston Jamaica,8225,162.47,1.98,0.309,1.11,16458071068.00,0.124,Kingston Jamaica,0.7440000000000000,1.33,Jamaican English,0.237,2948279,0.66,0.268,0.35100000000000000,0.08,1650594,18.109581,-77.297508
Jordan,115,0.12,89342,116000,0.2198,Amman,25108,125.6,2.76,0.011000000000000000,1.10,43743661972.00,0.139,Amman,0.7440000000000000,1.49,Arabic,0.251,10101694,0.39300000000000000,0.151,0.28600000000000000,0.1472,9213048,30.585164,36.238414
Kazakhstan,7,0.804,2724900,71000,0.2177,Astana,247207,182.75,2.84,0.012,0.42,180161741180.00,0.08800000000000000,Almaty,0.732,0.41,Russian,0.38800000000000000,18513930,0.688,0.11700000000000000,0.284,0.045900000000000000,10652915,48.019573,66.923684
Kenya,94,0.485,580367,29000,0.2875,Nairobi,17910,180.51,3.49,0.078,0.95,95503088538.00,0.306,Nairobi,0.6630000000000000,0.25,Swahili,0.33400000000000000,52573973,0.747,0.151,0.37200000000000000,0.0264,14461523,-0.023559,37.906193
Kuwait,240,0.084,17818,25000,0.1394,Kuwait City,98734,126.6,2.08,0.004,0.35,134761198946.00,0.067,Kuwait City,0.754,0.95,Modern Standard Arabic,0.14400000000000000,4207083,0.735,0.014000000000000000,0.13,0.0218,4207083,29.31166,47.481766
Kyrgyzstan,34,0.55,199951,21000,0.271,Bishkek,9787,155.68,3.3,0.033,0.56,8454619608.00,0.16900000000000000,Bishkek,0.7140000000000000,0.09,Russian,0.48200000000000000,6456900,0.598,0.18,0.29,0.0633,2362644,41.20438,74.766098
Laos,32,0.10300000000000000,236800,129000,0.23550000000000000,Vientiane,17763,135.87,2.67,0.821,0.93,18173839128.00,0.376,Vientiane,0.6760000000000000,0.83,Lao,0.45400000000000000,7169455,0.785,0.129,0.24100000000000000,0.0063,2555552,19.85627,102.495496
Latvia,30,0.311,64589,6000,0.1,Riga,7004,116.86,1.6,0.54,1.16,34117202555.00,0.033,Riga,0.747,2.80,Latvian,0.41600000000000000,1912789,0.614,0.22900000000000000,0.381,0.0652,1304943,56.879635,24.603189
Lebanon,667,0.643,10400,80000,0.17550000000000000,Beirut,24796,130.02,2.09,0.134,0.74,53367042272.00,0.064,Tripoli Lebanon,0.789,2.15,Arabic,0.321,6855713,0.47,0.153,0.322,0.0623,6084994,33.854721,35.862285
Lithuania,43,0.47200000000000000,65300,34000,0.1,Vilnius,12963,118.38,1.63,0.348,1.16,54219315600.00,0.033,Vilnius,0.757,2.41,Lithuanian,0.321,2786844,0.616,0.16900000000000000,0.426,0.0635,1891013,55.169438,23.881275
Luxembourg,242,0.537,2586,2000,0.10300000000000000,Luxembourg City,8988,115.09,1.37,0.35700000000000000,1.19,71104919108.00,0.019,Luxembourg City,0.821,13.05,Luxembourgish,0.106,645397,0.593,0.265,0.204,0.0536,565488,49.815273,6.129583
Madagascar,48,0.7120000000000000,587041,22000,0.32660000000000000,Antananarivo,3905,184.33,4.08,0.214,1.11,14083906357.00,0.382,Antananarivo,0.667,0.21,French,0.217,26969307,0.861,0.102,0.38300000000000000,0.0176,10210849,-18.766947,46.869107
Malawi,203,0.614,118484,15000,0.34120000000000000,Lilongwe,1298,418.34,4.21,0.332,1.15,7666704427.00,0.353,Lilongwe,0.638,0.12,English,0.11,18628747,0.767,0.17300000000000000,0.345,0.0565,3199301,-13.254308,34.301525
Malaysia,99,0.263,329847,136000,0.1675,Kuala Lumpur,248289,121.46,2,0.6760000000000000,0.45,364701517788.00,0.067,Johor Bahru,0.76,0.93,Malaysian language,0.36700000000000000,32447385,0.643,0.12,0.387,0.0332,24475766,4.210484,101.975766
Mali,17,0.33800000000000000,1240192,18000,0.4154,Bamako,3179,108.73,5.88,0.038,1.12,17510141171.00,0.62,Bamako,0.589,0.23,French,0.46300000000000000,19658031,0.708,0.11600000000000000,0.545,0.0722,8479688,17.570692,-3.996166
Malta,1380,0.324,316,2000,0.092,Valletta,1342,113.45,1.23,0.011000000000000000,1.36,14786156563.00,0.061,Birkirkara,0.823,5.07,Maltese,0.371,502653,0.565,0.262,0.44,0.0347,475902,35.937496,14.375416
Mauritius,626,0.424,2040,3000,0.102,Port Louis,4349,129.91,1.41,0.19,1.12,14180444557.00,0.136,Port Louis,0.7440000000000000,0.38,French,0.507,1265711,0.583,0.191,0.222,0.0667,515980,-20.348404,57.552152
Mexico,66,0.546,1964375,336000,0.17600000000000000,Mexico City,486406,141.54,2.13,0.33900000000000000,0.73,1258286717125.00,0.11,Mexico City,0.75,0.49,None,0.414,126014024,0.607,0.131,0.551,0.0342,102626859,23.634501,-102.552784
Moldova,123,0.742,33851,7000,0.10100000000000000,Chi����,5115,166.2,1.26,0.126,0.80,11955435457.00,0.136,Chi����,0.718,0.31,Romanian,0.462,2657637,0.431,0.177,0.387,0.0547,1135502,47.411631,28.369885
Mongolia,2,0.715,1564116,18000,0.2413,Ulaanbaatar,25368,195.76,2.9,0.08,0.72,13852850259.00,0.14,Ulaanbaatar,0.6970000000000000,0.65,Mongolian,0.39300000000000000,3225167,0.597,0.168,0.257,0.0601,2210626,46.862496,103.846656
Morocco,83,0.685,446550,246000,0.1894,Rabat,61276,111.07,2.42,0.126,0.99,118725279596.00,0.192,Casablanca,0.765,1.60,Arabic,0.531,36910560,0.45300000000000000,0.21900000000000000,0.45800000000000000,0.0902,22975026,31.791702,-7.09262
Mozambique,40,0.635,799380,11000,0.37520000000000000,Maputo,7943,182.31,4.85,0.48,0.65,14934159926.00,0.54,Maputo,0.602,0.27,Portuguese,0.068,30366036,0.7810000000000000,0,0.361,0.032400000000000000,11092106,-18.665695,35.529562
Myanmar,83,0.195,676578,513000,0.17550000000000000,Naypyidaw,25280,168.18,2.15,0.436,0.54,76085852617.00,0.368,Yangon,0.669,0.39,Burmese,0.7390000000000000,54045420,0.617,0.054000000000000000,0.312,0.0158,16674093,21.916221,95.955974
Nepal,203,0.287,147181,112000,0.1989,Kathmandu,9105,188.73,1.92,0.254,0.91,30641380604.00,0.267,Kathmandu,0.705,0.36,Nepali,0.604,28608710,0.838,0.207,0.418,0.0141,5765513,28.394857,84.124008
New Zealand,18,0.405,268838,9000,0.1198,Wellington,34382,114.24,1.71,0.386,1.40,206928765544.00,0.047,Auckland,0.8190000000000000,11.49,English,0.126,4841000,0.6990000000000000,0.29,0.34600000000000000,0.0407,4258860,-40.900557,174.885971
Nicaragua,55,0.42100000000000000,130370,12000,0.2064,Managua,5592,162.74000000000000,2.4,0.259,0.91,12520915291.00,0.157,Managua,0.743,0.54,Spanish,0.36,6545502,0.664,0.156,0.606,0.0684,3846137,12.865416,-85.207229
Niger,19,0.361,1267000,10000,0.4608,Niamey,2017,109.32,6.91,0.009000000000000000,0.88,12928145120.00,0.48,Niamey,0.62,0.29,French,0.523,23310715,0.72,0.11800000000000000,0.47200000000000000,0.004700000000000000,3850231,17.607789,8.081666
